"Depth" "AirTemp" "WaterTemp"
"4289" 7.5 17.9742 15.18742
"4319" 0 16.1645 19.81525
"4320" 1 16.1645 19.60392
"4321" 2.5 16.1645 19.28692
"4322" 5 16.1645 18.7586
"4323" 7.5 16.1645 16.93683
"4353" 0 16.0933 17.25999
"4354" 1 16.0933 17.22382
"4355" 2.5 16.0933 17.16952
"4356" 5 16.0933 17.07915
"4357" 7.5 16.0933 16.1176
"4387" 0 8.5065 14.17165
"4388" 1 8.5065 14.1864
"4389" 2.5 8.5065 14.2082
"4390" 5 8.5065 14.24537
"4391" 7.5 8.5065 14.00334
"4421" 0 2.1433 9.030822
"4422" 1 2.1433 9.03636
"4423" 2.5 2.1433 9.048716
"4424" 5 2.1433 9.058514
"4425" 7.5 2.1433 9.080497
"4455" 0 1.2581 5.641308
"4456" 1 1.2581 5.652124
"4457" 2.5 1.2581 5.668343
"4458" 5 1.2581 5.695499
"4459" 7.5 1.2581 5.715035
"4489" 0 -0.821 3.425132
"4490" 1 -0.821 3.495733
"4491" 2.5 -0.821 3.601086
"4492" 5 -0.821 3.778375
"4493" 7.5 -0.821 3.939161
"4523" 0 4.8375 3.318205
"4524" 1 4.8375 3.338204
"4525" 2.5 4.8375 3.368389
"4526" 5 4.8375 3.416977
"4527" 7.5 4.8375 3.550857
"4557" 0 9.1984 5.62299
"4558" 1 9.1984 5.611289
"4559" 2.5 9.1984 5.593711
"4560" 5 9.1984 5.566137
"4561" 7.5 9.1984 5.266521
"4591" 0 9.1183 10.76595
"4592" 1 9.1183 10.28305
"4593" 2.5 9.1183 9.558706
"4594" 5 9.1183 8.346088
"4595" 7.5 9.1183 7.566566
"4625" 0 10.4871 12.92408
"4626" 1 10.4871 12.77049
"4627" 2.5 10.4871 12.5401
"4628" 5 10.4871 11.99707
"4629" 7.5 10.4871 10.78194
"4659" 0 17.3833 18.39546
"4660" 1 17.3833 18.20107
"4661" 2.5 17.3833 17.90949
"4662" 5 17.3833 15.95132
"4663" 7.5 17.3833 12.7459
"4693" 0 18.5258 24.63224
"4694" 1 18.5258 23.97085
"4695" 2.5 18.5258 22.97877
"4696" 5 18.5258 19.62149
"4697" 7.5 18.5258 16.4823
"4727" 0 16.9903 19.61226
"4728" 1 16.9903 19.48003
"4729" 2.5 16.9903 19.2818
"4730" 5 16.9903 18.3751
"4731" 7.5 16.9903 17.21988
"4761" 0 14.315 17.01903
"4762" 1 14.315 17.04138
"4763" 2.5 14.315 17.07465
"4764" 5 14.315 16.88244
"4765" 7.5 14.315 16.16359
"4795" 0 9.7565 13.51289
