"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
7.7726 12.87459 12.84839 12.80913 12.6477 12.60232
5.12 9.174058 9.164884 9.150997 9.187632 9.12388
-0.2468 6.391729 6.4478 6.532669 6.52463 6.532718
-0.7339 4.76777 4.824195 4.906429 4.91823 4.922454
0.3964 4.297305 4.310228 4.339427 4.31034 4.301743
3.4952 4.430853 4.384975 4.345363 4.289696 4.339138
5.6483 5.617661 5.578848 5.520643 5.402073 5.037057
14.0194 12.14148 12.1152 11.97578 11.30201 9.093716
16.6383 19.34208 19.02286 18.70661 16.88615 15.14855
17.6016 20.71137 20.43829 20.02316 18.7539 17.49287
19.4677 21.39476 21.11354 20.59877 19.36489 18.51367
15.6867 20.11139 19.91469 19.79034 19.70909 19.22859
8.1016 14.38243 14.28392 14.15664 14.24431 14.21231
3.9217 8.481317 8.430562 8.461801 8.49104 8.482201
0.8403 5.617454 5.557501 5.536473 5.520258 5.533797
3.2097 4.867112 4.864653 4.857992 4.855289 4.84098
3.2804 4.403511 4.393642 4.423373 4.428049 4.489987
7.4935 5.739861 5.483607 5.469227 5.228974 4.790621
8.8333 10.41745 10.01536 9.614296 8.982936 6.641534
11.8371 13.6445 13.29187 12.68996 11.76783 10.37013
14.8567 18.18594 17.90736 17.41149 16.37394 14.39332
17.5177 19.22454 19.1296 19.02763 18.19794 17.10747
18.871 20.9769 20.80737 20.6821 19.88069 18.60366
14.3233 18.94194 18.87299 18.90226 18.67888 18.14314
5.3048 11.85752 11.94548 12.03741 11.95489 11.85849
4.8083 8.100356 8.006393 7.975173 7.927759 7.922747
4.3532 6.13175 6.139387 6.175239 6.178905 6.143477
3.821 5.076313 5.090564 5.11894 5.162093 5.207676
2.6893 4.948274 4.906572 4.907691 4.910408 4.956353
4.0113 4.781215 4.780155 4.779309 4.779485 4.860032
8.01 7.037103 7.007957 6.967061 6.745648 6.230071
13.0081 14.48256 14.44927 14.38384 13.36639 11.35898
14.62 16.57225 16.5261 16.48777 14.67589 13.65844
18.1532 20.78061 20.36189 19.74152 17.68184 15.92281
18.0161 20.54993 20.49501 20.3263 19.96877 18.5298
16.7983 18.74712 18.63353 18.45198 18.05671 17.66705
8.3806 14.12615 13.96223 13.71798 13.0694 13.20788
4.6467 10.24624 10.2075 10.08812 10.07677 10.28623
-0.371 7.666605 7.678941 7.674812 7.689219 7.688019
