"year" "month" "temp"
1993 9 13.1
1993 10 9
1993 11 2.2
1993 12 5.1
1994 1 5.2
1994 2 1.5
1994 3 7.3
1994 4 8.2
1994 5 12.4
1994 6 15
1994 7 21.4
1994 8 17.6
1994 9 13.6
1994 10 9.4
1994 11 10.2
1994 12 5.3
1995 1 3.8
1995 2 6.7
1995 3 5.5
1995 4 9.2
1995 5 12.8
1995 6 14.7
1995 7 20.1
1995 8 19.7
1995 9 14.2
1995 10 12.7
1995 11 6.8
1995 12 -0.9
1996 1 -0.1
1996 2 0.6
1996 3 3.2
1996 4 9.4
1996 5 10.7
1996 6 15.7
1996 7 16.3
1996 8 17.3
1996 9 12.5
1996 10 10.8
1996 11 5.9
1996 12 0.6
1997 1 -1.2
1997 2 6.2
1997 3 8
1997 4 7.8
1997 5 12.8
1997 6 16
1997 7 17.4
1997 8 20.5
1997 9 14.3
1997 10 9.7
1997 11 6.7
1997 12 5
1998 1 4.7
1998 2 6.4
1998 3 7.6
1998 4 9.4
1998 5 14.9
1998 6 15.8
1998 7 16.3
1998 8 16.5
1998 9 15
1998 10 9.9
1998 11 3.7
1998 12 4.6
1999 1 5.2
1999 2 3.1
1999 3 7.3
1999 4 9.8
1999 5 14.2
1999 6 15
1999 7 19.1
1999 8 17.5
1999 9 17.4
1999 10 10.6
1999 11 6.7
1999 12 4.8
2000 1 4.3
2000 2 5.9
2000 3 6.8
2000 4 10
2000 5 14.7
2000 6 16
2000 7 15.5
2000 8 17.4
2000 9 15.8
2000 10 11.3
2000 11 7.8
2000 12 5.1
2001 1 2.6
2001 2 4.5
2001 3 4.9
2001 4 8.3
2001 5 14.1
2001 6 15.2
2001 7 18.5
2001 8 18.5
2001 9 13.4
2001 10 14.2
2001 11 7.1
2001 12 2.9
2002 1 4.4
2002 2 7.1
2002 3 7.2
2002 4 9.3
2002 5 13.4
2002 6 16.5
2002 7 17.6
2002 8 18.6
2002 9 14.6
2002 10 9.5
2002 11 7.9
2002 12 2.9
2003 1 2.5
2003 2 1.8
2003 3 7.3
2003 4 9.9
2003 5 13.2
2003 6 17.8
2003 7 18.8
2003 8 19.3
2003 9 13.9
2003 10 7.5
2003 11 8
2003 12 4
2004 1 3.6
2004 2 4.8
2004 3 5.9
2004 4 10.4
2004 5 12.3
2004 6 15.5
2004 7 16.7
2004 8 18.8
2004 9 15.2
2004 10 11.3
2004 11 6.3
2004 12 3.2
2005 1 5.3
2005 2 2.4
2005 3 6.5
2005 4 10.4
2005 5 12.6
2005 6 16.8
2005 7 17.7
2005 8 16.2
2005 9 15.7
2005 10 13.3
2005 11 6.9
2005 12 4
2006 1 1.5
2006 2 2.9
2006 3 3.9
2006 4 9
2006 5 14.5
2006 6 16.7
2006 7 22.3
2006 8 16.4
2006 9 17.9
2006 10 13.6
2006 11 9.2
2006 12 6.5
2007 1 7.1
2007 2 6
2007 3 8
2007 4 13.1
2007 5 14.1
2007 6 17.5
2007 7 17
2007 8 17.1
2007 9 13.8
2007 10 10.1
2007 11 6.9
2007 12 3.8
2008 1 6.5
2008 2 5.1
2008 3 5.9
2008 4 8.9
2008 5 15.7
2008 6 16.5
2008 7 18.1
2008 8 17.4
2008 9 13.6
2008 10 10.1
2008 11 6.9
2008 12 2.4
2009 1 0.8
2009 2 3.3
2009 3 6.3
2009 4 12.2
2009 5 13.9
2009 6 15.6
2009 7 18.1
2009 8 18.5
2009 9 15
2009 10 10.7
2009 11 9.5
2009 12 2.2
2010 1 -0.5
2010 2 1.6
2010 3 6.4
2010 4 9.7
2010 5 10.5
2010 6 16.4
2010 7 19.9
2010 8 16.8
2010 9 13.6
2010 10 10.4
2010 11 5.8
2010 12 -1.1
2011 1 3.5
2011 2 4.6
2011 3 6
2011 4 13.1
2011 5 14
2011 6 16.1
2011 7 15.9
2011 8 16.9
2011 9 15.6
2011 10 11.4
2011 11 7.2
2011 12 6.5
2012 1 4.9
2012 2 0.8
2012 3 8.3
2012 4 8.4
2012 5 14.5
2012 6 14.9
2012 7 17.3
2012 8 18.5
2012 9 14.2
2012 10 10.5
2012 11 6.8
2012 12 5
